code,name,type,
300111,向日葵  ,1,
300154,瑞凌股份,1,
002181,粤 传 媒,1,
300193,佳士科技,1,
002535,林州重机,1,
002532,新界泵业,1,
000913,钱江摩托,1,
002337,赛象科技,1,
000622,恒立实业,1,
300126,锐奇股份,1,
000837,秦川机床,1,
002173,千足珍珠,1,
300337,银邦股份,1,
002428,云南锗业,1,
002590,万安科技,1,
000638,万方发展,1,
002346,柘中股份,1,
300044,赛为智能,1,
002441,众业达  ,1,
002292,奥飞动漫,1,
002559,亚威股份,1,
300213,佳讯飞鸿,1,
300220,金运激光,1,
002373,千方科技,1,
002489,浙江永强,1,
002623,亚玛顿  ,1,
002599,盛通股份,1,
002618,丹邦科技,1,
300310,宜通世纪,1,
002175,东方网络,1,
300161,华中数控,1,
002120,新海股份,1,
000819,岳阳兴长,1,
000560,昆百大Ａ,1,
002528,英飞拓  ,1,
300010,立思辰  ,1,
000673,当代东方,1,
300098,高新兴  ,1,
000410,沈阳机床,1,
002380,科远股份,1,
300024,机器人  ,1,
002281,光迅科技,1,
300434,金石东方,1,
002550,千红制药,1,
002668,奥马电器,1,
002536,西泵股份,1,
300097,智云股份,1,
002751,易尚展示,1,
300293,蓝英装备,1,
300248,新开普  ,1,
300286,安科瑞  ,1,
300354,东华测试,1,
300478,杭州高新,1,
300383,光环新网,1,
002280,联络互动,1,
300113,顺网科技,1,
002205,国统股份,1,
002569,步森股份,1,
002698,博实股份,1,
000821,京山轻机,1,
002009,天奇股份,1,
002253,川大智胜,1,
300335,迪森股份,1,
000818,方大化工,1,
300008,上海佳豪,1,
300302,同有科技,1,
002298,鑫龙电器,1,
000502,绿景控股,1,
300201,海伦哲  ,1,
002137,实 益 达,1,
002279,久其软件,1,
300076,GQY视讯 ,1,
000687,华讯方舟,1,
002184,海得控制,1,
300188,美亚柏科,1,
000681,视觉中国,1,
002189,利达光电,1,
300065,海兰信  ,1,
002472,双环传动,1,
002494,华斯股份,1,
300278,华昌达  ,1,
002049,同方国芯,1,
300018,中元华电,1,
002717,岭南园林,1,
300276,三丰智能,1,
002558,世纪游轮,1,
002031,巨轮智能,1,
002334,英威腾  ,1,
300047,天源迪科,1,
002116,中国海诚,1,
300243,瑞丰高材,1,
002527,新时达  ,1,
002073,软控股份,1,
002741,光华科技,1,
300014,亿纬锂能,1,
300195,长荣股份,1,
002593,日上集团,1,
002491,通鼎互联,1,
000766,通化金马,1,
002670,华声股份,1,
002444,巨星科技,1,
300307,慈星股份,1,
002455,百川股份,1,
300323,华灿光电,1,
000509,华塑控股,1,
300420,五洋科技,1,
002270,法因数控,1,
002620,瑞和股份,1,
300378,鼎捷软件,1,
000909,数源科技,1,
300308,中际装备,1,
002520,日发精机,1,
002201,九鼎新材,1,
000018,中冠A   ,1,
002627,宜昌交运,1,
300124,汇川技术,1,
002689,博林特  ,1,
300183,东软载波,1,
002021,中捷资源,1,
002367,康力电梯,1,
300023,宝德股份,1,
002713,东易日盛,1,
002675,东诚药业,1,
002319,乐通股份,1,
300029,天龙光电,1,
002264,新 华 都,1,
000671,阳 光 城,1,
002529,海源机械,1,
002697,红旗连锁,1,
300156,神雾环保,1,
300138,晨光生物,1,
002680,黄海机械,1,
000010,深华新  ,1,
300135,宝利国际,1,
002134,天津普林,1,
300341,麦迪电气,1,
000607,华媒控股,1,
002056,横店东磁,1,
002406,远东传动,1,
002471,中超控股,1,
000760,斯太尔  ,1,
002115,三维通信,1,
300155,安居宝  ,1,
002355,兴民钢圈,1,
002669,康达新材,1,
002642,荣之联  ,1,
002254,泰和新材,1,
002474,榕基软件,1,
300219,鸿利光电,1,
000890,法 尔 胜,1,
300074,华平股份,1,
002659,中泰桥梁,1,
300281,金明精机,1,
000504,南华生物,1,
300299,富春通信,1,
300246,宝莱特  ,1,
000525,红 太 阳,1,
300109,新开源  ,1,
002587,奥拓电子,1,
300119,瑞普生物,1,
300128,锦富新材,1,
002117,东港股份,1,
300143,星河生物,1,
002414,高德红外,1,
002079,苏州固锝,1,
000632,三木集团,1,
300211,亿通科技,1,
000923,河北宣工,1,
300359,全通教育,1,
300338,开元仪器,1,
300125,易世达  ,1,
000701,厦门信达,1,
002482,广田股份,1,
000420,吉林化纤,1,
002613,北玻股份,1,
002402,和而泰  ,1,
002616,长青集团,1,
300327,中颖电子,1,
002214,大立科技,1,
000961,中南建设,1,
002237,恒邦股份,1,
002055,得润电子,1,
300071,华谊嘉信,1,
300290,荣科科技,1,
000710,天兴仪表,1,
002526,山东矿机,1,
300112,万讯自控,1,
002631,德尔未来,1,
000790,华神集团,1,
300321,同大股份,1,
002448,中原内配,1,
002159,三特索道,1,
002490,山东墨龙,1,
300140,启源装备,1,
002523,天桥起重,1,
002434,万里扬  ,1,
002008,大族激光,1,
002611,东方精工,1,
002226,江南化工,1,
002193,山东如意,1,
002375,亚厦股份,1,
002295,精艺股份,1,
002687,乔治白  ,1,
000628,高新发展,1,
300415,伊之密  ,1,
000573,粤宏远Ａ,1,
300234,开尔新材,1,
002423,中原特钢,1,
300058,蓝色光标,1,
002356,浩宁达  ,1,
002437,誉衡药业,1,
002329,皇氏集团,1,
000897,津滨发展,1,
300053,欧比特  ,1,
300180,华峰超纤,1,
300309,吉艾科技,1,
000049,德赛电池,1,
002421,达实智能,1,
002035,华帝股份,1,
002451,摩恩电气,1,
300229,拓尔思  ,1,
000797,中国武夷,1,
000591,桐 君 阁,1,
300166,东方国信,1,
002644,佛慈制药,1,
300182,捷成股份,1,
300059,东方财富,1,
002167,东方锆业,1,
300212,易华录  ,1,
002129,中环股份,1,
300221,银禧科技,1,
002775,文科园林,1,
000801,四川九洲,1,
002554,惠博普  ,1,
